Avatar: Quem dirigiu o filme? | FILMES | James  Cameron | Steven Spielberg | Jeorge Lucas | James Cameron | Tim Burtton
Poderoso Chefão: Que ator faz o papel de Vito Corleone no filme? | FILMES | Marlon Brando| Jim Carrey | Arnold Schwarzenegger | Woody Allen | Marlon Brando
Star Wars: O que Leia é de Luke? | FILMES | Irmã | Amiga | Irmã | Mãe| Nada
Batman e Robin: Que ator interpretou Batman no filme? | FILMES | George Clooney | Christian Bale | Michael Keaton | George Clooney | Val Kilmer
Resident Evil: Qual o nome da personagem principal? | FILMES | Alice | Aline | Allie | Alicia| Alice
Observe a expressão numérica: 15+34-93:3.(4+7). O que deve ser feito primeiro? | MATEMÁTICA | Parenteses | Adição(+) | Parenteses | Multiplicação(x) | 4.Subtração(-)
Qual dos números a seguir NÃO é um número primo? | MATEMÁTICA | 9 | 2 | 5 | 9 | 7
Qual a raíz da seguinte equação: 3x - 6 = 9 | MATEMÁTICA | 5 | 1 | 5 | 4 | 15
Quantos graus tem um ângulo reto? | MATEMÁTICA | 90º | 45º | 180º | 360º | 90º
Se 1 pato tem 2 patas, quantas patas tem 35 patos? | MATEMÁTICA | 70 | 50 | 70 | 100 | 35
Qual é a menor cidade do mundo? | CONHECIMENTOS GERAIS | Hum | Hum | Vaticano | Daca | Lema
Qual é o maior mamífero do mundo? | CONHECIMENTOS GERAIS | Baleia Azul | Dinossauro | Elefante | Baleia Azul | Gorila
O país que consome mais chocolate do mundo é: | CONHECIMENTOS GERAIS | Suécia | Brasil | Suíça | Estados Unidos | Suécia
Qual o significado do nome "Coala"? | CONHECIMENTOS GERAIS | Sem água | Charmoso | Sem pelos | Sem dentes | Sem água
O que quer dizer a expressão:"SANTINHA DO PAU OCO"? | CONHECIMENTOS GERAIS | É uma pessoa que se faz de boa.| Se diz uma coisa e é outra. | É uma pessoa que se faz de boa. | Santa com um pau oco em sua estrutura.| É uma santa famosa e merece respeito.
Pac-Man: Qual é o som feito pelo Pac-Man? | GAMES | Waka waka waka | Bonk bonk bonk | Ploof ploof ploof | Plaft Plaft Plaft| Waka waka waka
God of War: Quem era Kratos? | GAMES | Deus da guerra | Anjo | Guerreiro | Dêmonio | Deus da guerra
Zelda: O nome do jogo se refere a qual personagem? | GAMES | A Princesa | Ao Herói | O Vilão | O País | A Princesa
Super Mario World: Nome daquela conhecida tartaruga que anda "pra lá e pra cá": | GAMES | Koopa Tropa | Turtle | Kopa | Koopa Tropa | Kopy Trupy
Mortal Kombat: Frase para se "concretizar" uma vitória: | GAMES | Finish Him | It's Over | Finish Him | Game Over | It's Done
Todo Mundo Odeia o Chris: Complete a frase de Jeromy: "Ô carinha que mora logo ali... | SÉRIES | me passa um dólar | me passa uma grana | me passa umas pratinhas | me passa um dólar | Perdeu!
The Big Bang Theory: No jogo Pedra, Papel, Tesoura, Lagarto, Spock: | SÉRIES | Lagarto come papel | Lagarto come papel | Tesoura decapita Spock | Lagarto vence pedra | Spock envenena Lagarto
How I Met Your Mother: Que animal estava na gravata em que Barney foi obrigado a usar? | SÉRIES | Patinhos | Sapinhos | Ursinhos | Passarinhos | Patinhos
The IT Crowd: Qual era o número de telefone de emergência da polícia Inglesa antes da mudança para "0118 999 881 999 119 7253"? | SÉRIES | 999 | 119 | 911 | 190 | 999
Doctor Who: No Guiness é reconhecida por ser o que? | SÉRIES | A mais longa serie de ficção cientifica | A melhor série | A série mais inglesa | A mais longa serie de ficção cientifica | Nenhuma esta correta
